# Pure Regev (faithful LLL v2) SR at N=437
# d=4, multi-S, multi-measurement accumulation
# 2026-06-14 02:25:56

sigma   seed  K_mean
0.000   1     2.7800
0.050   1     2.7000
0.150   1     2.7000
0.000   2     2.3600
0.050   2     2.4000
0.150   2     2.4400
0.000   3     2.4400
0.050   3     2.3800
0.150   3     2.3600
0.000   4     3.0400
0.050   4     3.1600
0.150   4     3.1200
0.000   5     1.5800
0.050   5     1.6000
0.150   5     1.5800
