# Pure Shor SR at N=437
# d=1 (single base), NO (C) augmentation
# 2026-06-14 00:41:53

sigma   seed  K_mean
0.000   1     12.2500
0.050   1     12.2100
0.150   1     12.2400
0.000   2     10.0500
0.050   2     9.9900
0.150   2     10.0200
0.000   3     10.0500
0.050   3     10.1300
0.150   3     10.1400
0.000   4     9.0900
0.050   4     9.1900
0.150   4     9.1900
0.000   5     10.4600
0.050   5     10.3800
0.150   5     10.3900
